,ID Iklan,Merk,Model,Tahun,Jenis,Pintu,Kapasitas,Transmisi,BBM,Tipe Penjual,Boleh Nego,Test Drive,Loc,Price,Kilometer,CC Mesin,Airbags,Tenaga mesin,Jumlah Gigi
12272,99589,Mitsubishi,Pajero Sport,2013,SUV,4,7 penumpang,Matic,Diesel,Owner,Yes,Yes,Sleman,335.000.000,50,25,4,25 HP,2
12273,99588,Honda,CR-V,2017,SUV,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,435.000.000,12,15,4,15 HP,2
12274,99587,Honda,Brio,2015,Hatcback,4,5 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,107.000.000,57000,1200,,,
12275,99586,Honda,Freed,2013,Hatcback,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,139.000.000,90000,1500,,,
12276,99585,Mercedes-Benz,C 250 CGI Avg,2018,,4,,Matic,Bensin,Owner,No,No,Jakarta Utara,1.075.000.000,1000,2000,,,
12277,99584,Ford,,1997,Sedan,4,5 penumpang,Manual,Bensin,Owner,Yes,Yes,,17.000.000,100000,1300,5,2000 HP,5
12278,99583,Mercedes-Benz,GL-Class,2019,SUV,5,5 penumpang,Matic,Bensin,Dealer,Yes,Yes,Jakarta Selatan,919.000.000,,2000,7,194 HP,7
12279,99582,Mitsubishi,Lancer,2004,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,67.000.000,,1600,,,
12280,99580,Toyota,Alphard,2012,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Pusat,325.000.000,,2400,,,
12281,99579,Nissan,Grand Livina,2013,MPV,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,102.000.000,,1500,,,
12282,99578,Honda,City,2006,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,78.000.000,,1500,,,
12283,99577,Toyota,Fortuner SRZ,2016,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Bekasi,395.000.000,45,2400,,,
